customer_id,company_name,industry,company_size,country_code,country_name,timezone,contact_email,contact_name,signup_date,signup_source,is_active,churned_at,churn_reason,nps_score,is_churned,tenure_days,plan_id,plan_name,plan_tier,status,mrr_usd,billing_cycle,team_size,active_members,total_events,avg_session_sec,unique_features,last_activity,first_activity,total_sessions_with_duration,latest_nps,avg_nps,nps_surveys_count
1,Rush Platform,E-commerce,small,FR,France,Europe/Paris,michael.baker@corp.net,Michael Baker,2023-01-31,partner,False,2024-02-26 10:13:36,Outgrew the platform,,1,391.0,5.0,Professional Plus,professional,cancelled,44.25,annual,3.0,3.0,39,1844.4545454545455,3,2025-03-18 13:48:50,2023-01-18 05:36:11,33,,,
2,TrekStack,Manufacturing,small,CA,Canada,America/Toronto,emily.moore+work@startup.co,Emily Moore,2023-06-09,referral,True,,,,0,1028.0,1.0,Free,free,paused,0.0,monthly,6.0,5.0,33,1668.5555555555557,4,2025-03-27 10:39:56,2023-10-20 23:31:46,27,8.0,8.0,1.0
3,Wave Group,Education,enterprise,US,United States,America/New_York,olga.robinson@wavegroup.com,Olga Robinson,2023-10-28,organic,True,,,,0,887.0,1.0,Free,free,active,0.0,annual,27.0,26.0,40,1641.5454545454545,6,2025-07-20 12:26:23,2023-10-02 07:44:44,33,7.0,7.0,1.0
4,KeenSoftware,Technology,large,GB,United Kingdom,Europe/London,lars.jackson@outlook.com,Lars Jackson,2024-04-09,partner,True,,,7.0,0,723.0,6.0,Enterprise,enterprise,active,82.5,annual,18.0,17.0,45,1766.4473684210527,3,2025-03-05 02:08:56,2023-05-24 18:12:24,38,8.0,8.0,1.0
5,QuestAnalytics,Logistics,large,US,United States,America/Chicago,joshua.green@yahoo.com,Joshua Green,2023-10-04,partner,True,,,,0,911.0,3.0,Starter Plus,starter,active,15.83,annual,22.0,20.0,43,1722.2058823529412,5,2025-06-18 21:01:58,2023-05-01 19:51:36,34,7.0,7.0,1.0
6,RiftWorks,Insurance,small,GB,United Kingdom,Europe/London,sofia.williams@outlook.com,Sofia Williams,2025-08-23,partner,True,,,,0,222.0,1.0,Free,free,paused,0.0,monthly,4.0,3.0,34,1729.75,7,2025-08-29 11:44:36,2023-01-09 21:45:07,28,7.0,7.25,4.0
7,PeakIO,Telecommunications,large,CA,Canada,America/Toronto,elizabeth.taylor@tech.dev,Elizabeth Taylor,2024-08-21,paid_ads,True,,,7.0,0,589.0,1.0,Free,free,active,0.0,annual,26.0,23.0,45,1577.3529411764705,6,2025-08-16 18:15:13,2023-01-03 20:53:14,34,10.0,8.5,2.0
8,Data Systems,Finance,large,US,United States,America/Los_Angeles,mei.baker@startup.co,Mei Baker,2024-04-24,organic,True,,,,0,708.0,1.0,Free,free,active,0.0,monthly,23.0,23.0,43,1731.945945945946,6,2025-04-05 23:00:27,2023-01-08 23:03:48,37,5.0,6.5,2.0
9,Iris Hub,Education,enterprise,SG,Singapore,Asia/Singapore,lisa.davis@gmail.com,Lisa Davis,2025-06-15,paid_ads,True,,,,0,291.0,1.0,Free,free,active,0.0,annual,37.0,34.0,48,2031.7179487179487,9,2024-03-26 03:00:38,2023-02-07 17:26:45,39,8.0,8.0,3.0
10,GlowSystems,Education,enterprise,SG,Singapore,Asia/Singapore,steven.hill@yahoo.com,Steven Hill,2025-03-08,organic,True,,,,0,390.0,5.0,Professional Plus,professional,active,59.0,monthly,40.0,36.0,36,1710.8076923076924,8,2025-07-31 17:31:18,2023-06-01 09:45:04,26,2.0,5.5,4.0
11,Xenon Cloud,E-commerce,small,GB,United Kingdom,Europe/London,andrew.garcia@outlook.com,Andrew Garcia,2024-06-29,paid_ads,True,,,7.0,0,642.0,2.0,Starter,starter,active,7.5,annual,1.0,1.0,43,1780.6944444444443,4,2025-07-31 11:15:41,2023-04-29 04:49:14,36,8.0,6.166666666666667,6.0
12,QuarkDev,Manufacturing,small,JP,Japan,Asia/Tokyo,priya.patel@startup.co,Priya Patel,2024-10-27,referral,True,,,,0,522.0,6.0,Enterprise,enterprise,active,99.0,monthly,3.0,3.0,44,1484.9142857142858,4,2025-09-06 03:03:19,2023-06-20 08:22:33,35,4.0,4.0,1.0
13,Vertex Labs,Real Estate,medium,GB,United Kingdom,Europe/London,Emily.Anderson@gmail.com,Emily Anderson,2025-07-16,referral,False,2025-09-16 01:57:15,Switched to competitor,1.0,1,62.0,1.0,Free,free,cancelled,0.0,monthly,7.0,6.0,33,1699.0384615384614,4,2025-07-23 00:45:46,2023-08-18 20:31:04,26,,,
